citeKey,filename,sourceNo,path,sourceFilePath_rel,species,genus,source_UUID,filename_drop,max_split_drop,specimenID_old,shotNo,specimenNo,view,microscopicTechnic,lens,DPI,institution,contributor,origin,digitizedDate,area_x_mm,area_y_mm,pixelSize_um_per_pixel,numericalAperature_NA,GPS_Alt,GPS_Lat,GPS_Long,sourceStoredLocally,institutionCode,samplingPoint,pixel_x,pixel_y,family,japName,specimenNo_old,order_old,section_drop,subgenus_drop,anatomy1_DS04,anatomy2_DS04,otherNo_drop,prepNo_drop,subspecies_drop,individuals_drop,n_individuals_drop,totalNumberShots,woodType,name_drop,todo_lens,filename_old,source_drop,todo_bitdepth_old,engName_old,_version_old,contributor_old,institution_old,view_old,raw_UUID
unknown,,DS11,,,CornusControversa,Cornus,25352,,,,1.0,3,RLS,,,300,"Forestry and Forest Products Research Institute, Japan",Contributor not specified,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,FFPRI,,,,Cornaceae,,TWTw 1138,,,,,,,,,,,,Modern Hardwood,CORNACEAE Cornus controversa,unknown,img003108.tif,Color digital original,8-bit RGB color,GIANT DOGWOOD,1.823184701620224e+18,unknown,"Forestry and Forest Products Research Institute, Japan",radial section,r_17OiHs
unknown,,DS11,,,BreyniaVitis-idaea,Breynia,26144,,,,3.0,2,RLS,,,300,"Forestry and Forest Products Research Institute, Japan",Contributor not specified,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,FFPRI,,,,Phyllanthaceae,,TWTw 15094,,,,,,,,,,,,Modern Hardwood,PHYLLANTHACEAE Breynia vitis-idaea,unknown,img004828.tif,Color digital original,8-bit RGB color,,1.823184697970131e+18,unknown,"Forestry and Forest Products Research Institute, Japan",radial section,r_13mqo4
unknown,,DS11,,,BroussonetiaPapyrifera,Broussonetia,26936,,,,2.0,6,TLS,,,300,"Forestry and Forest Products Research Institute, Japan",Contributor not specified,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,FFPRI,,,,Moraceae,,TWTw 18649,,,,,,,,,,,,Modern Hardwood,MORACEAE Broussonetia papyrifera,unknown,img-10306.tif,Color digital original,8-bit RGB color,PAPER MULBERRY,1.8231847013192827e+18,unknown,"Forestry and Forest Products Research Institute, Japan",tangential section,r_xBvhiy
unknown,,DS11,,,RubusMicrophyllus,Rubus,27727,,,,3.0,1,TS,,,300,"Forestry and Forest Products Research Institute, Japan",Contributor not specified,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,FFPRI,,,,Rosaceae,,TWTw 19140,,,,,,,,,,,,Modern Hardwood,ROSACEAE Rubus microphyllus,unknown,img-10716.tif,Color digital original,8-bit RGB color,,1.8216445685729853e+18,unknown,"Forestry and Forest Products Research Institute, Japan",cross section,r_EBIr3f
unknown,,DS11,,,CantuaVolcanica,Cantua,28561,,,,2.0,1,TLS,,,600,"Santa Barbara Botanic Garden, USA",Sherwin Carlquist,,2006-04-20T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,SBBG,,,,Polemoniaceae,,Eyerdam.Beetle 2240,,,,,,,,,,,,Modern Hardwood,POLEMONIACEAE Cantua volcanica,040,Eyerdam.Beetle_2240_ta_040.tif,B & W negative,16-bit grayscale,,1.8231847014660833e+18,Sherwin Carlquist,Santa Barbara Botanic Garden,tangential section,r_nabvbJ
unknown,,DS11,,,CaesalpinioideaeCampsiandraSp.,Caesalpinioideae,29483,,,,2.0,1,TS,,,300,"Naturalis Biodiversity Center, The Netherlands",L.Y.T. Westra,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,NBC,,,,Leguminosae,,Uw 4519,,,,,,,,,,,,Modern Hardwood,LEGUMINOSAE CAESALPINIOIDEAE Campsiandra sp.,005,Uw_4519_5x.tif,Color digital original,24-bit color,,1.8216445687334175e+18,L.Y.T. Westra,Naturalis Biodiversity Center,cross section,r_ZdmnDI
unknown,,DS11,,,AustrobaileyaScandens,Austrobaileya,30342,,,,6.0,2,TLS,,,2400,"North Carolina State University, USA",Elisabeth Wheeler,,2007-04-05T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Austrobaileyaceae,,Brass 18160,,,,,,,,,,,,Modern Hardwood,AUSTROBAILEYACEAE Austrobaileya scandens,004,Brass_18160_ta_004.tif,Color digital original,24-bit color,,1.823184698165166e+18,Elisabeth Wheeler,North Carolina State University,tangential section,r_17xjEA
unknown,,DS11,,,RauvolfiaCaffra,Rauvolfia,31244,,,,3.0,1,TS,,,150,"Royal Botanic Gardens - Kew, UK",Alice Campbell; Peter Gasson,,2007-04-26T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,KEW,,,,Apocynaceae,,Kw 31157,,,,,,,,,,,,Modern Hardwood,APOCYNACEAE Rauvolfia caffra,unknown,Rauwolfia.caffra.xs.31157.tif,Color digital original,24-bit color,QUININE TREE,1.821644563751633e+18,Alice Campbell and Peter Gasson,Royal Botanic Gardens - Kew,cross section,r_TjCBuT
unknown,,DS11,,,DiospyrosMelanida,Diospyros,32169,,,,3.0,1,TS,,,600,"Royal Museum of Central Africa, Belgium",Hans Beeckman,,2007-08-29T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,RMCA,,,,Ebenaceae,,Tw 18844,,,,,,,,,,,,Modern Hardwood,EBENACEAE Diospyros melanida,unknown,Tw_18844_xa_unk.tif,B & W negative,8-bit grayscale,,1.8216445637904302e+18,Hans Beeckman,"Royal Museum of Central Africa, Belgium",cross section,r_13BaXA
unknown,,DS11,,,Db.d1Xylotype5b.,Db,42389,,,,3.0,1,TS,,,2400,"North Carolina State University, USA",Suzanne Snider,,2006-06-24T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Family?,,DMNH 23810,,,,,,,,,,,,Fossil Hardwood,FAMILY? DB.D1 Xylotype 5b.,slide,DMNH_23810_xa_slide.tif,Color digital original,24-bit color,,1.822097543996113e+18,Suzanne Snider,North Carolina State University,cross section,r_naCpyi
unknown,,DS11,,,VitexDoniana,Vitex,43566,,,,1.0,3,RLS,,,600,"Royal Museum of Central Africa, Belgium",Hans Beeckman,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,RMCA,,,,Lamiaceae,,Tw 22620,,,,,,,,,,,,Modern Hardwood,LAMIACEAE Vitex doniana,unknown,Tw_22620_ra_unk.tif,B & W negative,8-bit grayscale,"EVINO,BLACK PLUM,WEST AFRICAN PLUM,MFUU",1.8231847018834166e+18,Hans Beeckman,"Royal Museum of Central Africa, Belgium",radial section,r_VlcnAh
unknown,,DS11,,,PageGroupIii.b2,Page,44692,,,,3.0,4,TS,,,2400,"North Carolina State University, USA",Elisabeth Wheeler,,2007-12-17T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Family?,,CASG 60128,,,,,,,,,,,,Fossil Hardwood,FAMILY? Page Group III.B2,004,CASG_60128_xc_004.tif,Color digital original,24-bit color,,1.8220975439573156e+18,Elisabeth Wheeler,North Carolina State University,cross section,r_wSgRZ7
unknown,,DS11,,,TilioideaeTiliaPubescens,Tilioideae,45863,,,,1.0,1,TS,,,2400,"North Carolina State University, USA",Elisabeth Wheeler,,2010-01-27T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Malvaceae,,Hw 3206,,,,,,,,,,,,Modern Hardwood,MALVACEAE TILIOIDEAE Tilia pubescens,004,Hw_3206_xa_004.tif,Color digital original,24-bit color,,1.8220975445612954e+18,Elisabeth Wheeler,North Carolina State University,cross section,r_bOJgO2
unknown,,DS11,,,TrattinnickiaRhoifolia,Trattinnickia,46840,,,,2.0,2,TLS,,,300,"Tropenbos International, The Netherlands",Pierre Détienne; Regis Miller,,2010-04-22T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,Tropen,,,,Burseraceae,,CTFTw 16701,,,,,,,,,,,,Modern Hardwood,BURSERACEAE Trattinnickia rhoifolia,unknown,CTFTw_16701_ta_unknown.tif,4 x 5 inch B&W Print,8-bit grayscale,,1.8231846984986132e+18,Pierre Détienne and Regis Miller,Tropenbos,tangential section,r_Gq1IQD
unknown,,DS11,,,PerseaBorbonia,Persea,47850,,,,6.0,1,TLS,,,300,"North Carolina State University, USA",Elisabeth Wheeler,,2011-01-15T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Lauraceae,,BWCw 8771,,,,,,,,,,,,Modern Hardwood,LAURACEAE Persea borbonia,010,BWCw_8771_ta_010.tif,Color digital original,24-bit color,REDBAY,1.8231846985478963e+18,Elisabeth Wheeler,North Carolina State University,tangential section,r_GsJBHd
unknown,,DS11,,,MalvoideaeThespesiaPopulnea,Malvoideae,48827,,,,8.0,1,RLS,,,300,"North Carolina State University, USA",Elisabeth Wheeler,,2011-09-10T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Malvaceae,,BWCw 8770,,,,,,,,,,,,Modern Hardwood,MALVACEAE MALVOIDEAE Thespesia populnea,020,BWCw_8770_ra_020.tif,Color digital original,24-bit color,"MILO,SEYCHELLES ROSEWOOD,PACIFIC ROSEWOOD",1.823184698583548e+18,Elisabeth Wheeler,North Carolina State University,radial section,r_kkEoNA
unknown,,DS11,,,ChilopsisLinearis,Chilopsis,49873,,,,7.0,4,TS,,,300,"Departamento de Botanica, Universidade de São Paulo, Brazil",Marcelo R. Pace,,2012-05-01T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,USP,,,,Bignoniaceae,,Kw 471,,,,,,,,,,,,Modern Hardwood,BIGNONIACEAE Chilopsis linearis,005,Kw_471_xa_005.tif,Color digital original,24-bit color,DESERT WILLOW,1.8220975444564378e+18,Marcelo R. Pace,"Departamento de Botanica, Universidade de São Paulo",cross section,r_10X8iT
unknown,,DS11,,,TecomaStans,Tecoma,50732,,,,11.0,4,TS,,,300,"Departamento de Botanica, Universidade de São Paulo, Brazil",Marcelo R. Pace,,2012-05-01T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,USP,,,,Bignoniaceae,,Kw 375,,,,,,,,,,,,Modern Hardwood,BIGNONIACEAE Tecoma stans,005,Kw_375_xc_005.tif,Color digital original,24-bit color,YELLOW BELLS,1.8220975445812183e+18,Marcelo R. Pace,"Departamento de Botanica, Universidade de São Paulo",cross section,r_1emlp3
unknown,,DS11,,,ClerodendrumLaxiflorum,Clerodendrum,51625,,,,3.0,1,TS,,,1200,"CIRAD, Montpellier, France",Pierre Détienne,,2014-05-12T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,CIRAD,,,,Lamiaceae,,CTFTw 9845,,,,,,,,,,,,Modern Hardwood,LAMIACEAE Clerodendrum laxiflorum,x25,CTFTw_9845_xa_x25.tif,3x4 inch B&W Print,8-bit grayscale,,1.822097545148498e+18,Pierre Detienne,"CIRAD - Montpellier, France",cross section,r_UEFwoR
unknown,,DS11,,,CleistanthusOblongifolius,Cleistanthus,52554,,,,2.0,2,RLS,,,9999,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Phyllanthaceae,,FPAw 13572,,,,,,,,,,,,Modern Hardwood,PHYLLANTHACEAE Cleistanthus oblongifolius,unknown,13572-R1.jpg,Color digital original,8-bit grayscale,,1.8231846987743887e+18,Jugo Ilic,"CSIRO, Australia",radial section,r_1h4WlB
unknown,,DS11,,,GrewioideaeGrewiaEriocarpa,Grewioideae,53424,,,,2.0,1,RLS,,,9999,"CSIRO, Australia",Jugo Ilic,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,CSIRO,,,,Malvaceae,,FPAw 12164,,,,,,,,,,,,Modern Hardwood,MALVACEAE GREWIOIDEAE Grewia eriocarpa,unknown,12164-Ra.jpg,Color digital original,8-bit grayscale,,1.823184702391976e+18,Jugo Ilic,"CSIRO, Australia",radial section,r_BQDgp6
unknown,,DS11,,,ElaeocarpoxylonGhughuense,Elaeocarpoxylon,54472,,,,2.0,1,TS,,,72,"North Carolina State University, USA",Elisabeth Wheeler,,2014-12-21T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Family?,,BSIP 37373,,,,,,,,,,,,Fossil Hardwood,FAMILY? Elaeocarpoxylon ghughuense,004,BSIP_37373_xb_004.tif,Color digital original,24-bit color,,1.8220975448507023e+18,Elisabeth Wheeler,North Carolina State University,cross section,r_n0eCXH
unknown,,DS11,,,ElaeocarpusFerrugineus,Elaeocarpus,55560,,,,6.0,1,TLS,,,300,"North Carolina State University, USA",Elisabeth Wheeler,,2016-05-26T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,NCSU,,,,Elaeocarpaceae,,BSIPw 246,,,,,,,,,,,,Modern Hardwood,ELAEOCARPACEAE Elaeocarpus ferrugineus,004,BSIPw_246_tb_004.tif,Color digital original,24-bit color,,1.8231846989201408e+18,Elisabeth Wheeler,North Carolina State University,tangential section,r_1eWrA8
unknown,,DS11,,,BeilschmiediaOpposita,Beilschmiedia,57406,,,,1.0,2,TS,,,9999,"ES-SupAgro Antananarivo, Madagascar",V.M.N. Razakandraibe; A.N.A. Aritsara; T. Ramananantoandro; H. Razafimandimby,,,unclear,unclear,,unknown,unknown,unknown,unknown,0,ESSA,,,,Lauraceae,,TEF_512R56,,,,,,,,,,,,Modern Hardwood,LAURACEAE Beilschmiedia opposita,macro,TEF_512R56 - 10931SF.tif,Color digital original,24-bit color,,1.8216445649082122e+18,"V.M.N. Razakandraibe, A.N.A. Aritsara, T. Ramananantoandro, H. Razafimandimby","EAUX ET FORÊTS, École Supérieure des Sciences Agronomiques, U. dAntananarivo",cross section,r_NkmNcw
unknown,,DS11,,,BanisteriopsisMuricata,Banisteriopsis,58391,,,,3.0,1,RLS,,,9999,"Smithsonian Institution, U.S. National Museum",Marcelo R. Pace,,2017-12-07T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,USNM,,,,Malpighiaceae,,Hw Neid.20459,,,,,,,,,,,,Modern Hardwood,MALPIGHIACEAE Banisteriopsis muricata,010,Nied. 20459 rls 0007 10x.tif,Color digital original,24-bit color,,1.8231846990166098e+18,Marcelo R. Pace,U.S. National Museum (Smithsonian Institution),radial section,r_UM7RX8
unknown,,DS11,,,EntandrophragmaUtile,Entandrophragma,59492,,,,1.0,11,RLS,,,9999,"Royal Museum of Central Africa, Belgium",Hans Beeckman,,2015-07-15T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,RMCA,,,,Meliaceae,,Tw 46875,,,,,,,,,,,,Modern Hardwood,MELIACEAE Entandrophragma utile,002.5,Tw46875_R_2.5x_2.jpg,Color digital original,24-bit color,"UTILE,SIPO",1.82318470269816e+18,Hans Beeckman,"Royal Museum of Central Africa, Belgium",radial section,r_Gi3MsW
unknown,,DS11,,,MimosoideaeAlbiziaFerruginea,Mimosoideae,60486,,,,8.0,9,TS,,,9999,"Royal Museum of Central Africa, Belgium",Hans Beeckman,,2015-07-15T00:00:00,unclear,unclear,,unknown,unknown,unknown,unknown,0,RMCA,,,,Leguminosae,,Tw 724,,,,,,,,,,,,Modern Hardwood,LEGUMINOSAE MIMOSOIDEAE Albizia ferruginea,002.5,Tw724_Tv_2.5x_2.jpg,Color digital original,24-bit color,"YATANDZA,MUCHOLE,WEST AFRICAN ALBIZIA",1.8220975453875732e+18,Hans Beeckman,"Royal Museum of Central Africa, Belgium",cross section,r_BowtNO
